drug,candidate,score,raw_path,display_path,candidate_foreground,candidate_sharpness,candidate_contrast,candidate_saturation,candidate_mean_r,candidate_mean_g,candidate_mean_b,candidate_std_r,candidate_std_g,candidate_std_b,candidate_blockiness,real_ref_foreground,real_ref_sharpness,real_ref_contrast,real_ref_saturation,real_ref_mean_r,real_ref_mean_g,real_ref_mean_b,real_ref_std_r,real_ref_std_g,real_ref_std_b,real_ref_blockiness
etoposide,21,-0.42381971082922726,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/etoposide/candidate_021_raw.png,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/etoposide/candidate_021_display.png,0.8770179748535156,0.06637395173311234,0.9122639298439026,0.31770944595336914,0.3335573077201843,0.3576452136039734,0.16644646227359772,0.17038853466510773,0.20039251446723938,0.20784536004066467,0.511888861656189,0.8184432983398438,0.07827858626842499,0.9296450614929199,0.29089903831481934,0.3191419541835785,0.3014344274997711,0.14212623238563538,0.18521802127361298,0.20260171592235565,0.21411484479904175,0.4974319636821747
etoposide,22,-0.41253765790747793,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/etoposide/candidate_022_raw.png,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/etoposide/candidate_022_display.png,0.8835220336914062,0.07545550167560577,0.9162507057189941,0.33776843547821045,0.3721241354942322,0.3397749066352844,0.1675906479358673,0.18479087948799133,0.2067423015832901,0.20357674360275269,0.5059382319450378,0.8184432983398438,0.07827858626842499,0.9296450614929199,0.29089903831481934,0.3191419541835785,0.3014344274997711,0.14212623238563538,0.18521802127361298,0.20260171592235565,0.21411484479904175,0.4974319636821747
etoposide,23,-0.3487554073576603,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/etoposide/candidate_023_raw.png,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/etoposide/candidate_023_display.png,0.7584762573242188,0.06719687581062317,0.9122980237007141,0.27793577313423157,0.32701343297958374,0.28573670983314514,0.13704855740070343,0.2088889479637146,0.20059828460216522,0.19136099517345428,0.5155431032180786,0.8184432983398438,0.07827858626842499,0.9296450614929199,0.29089903831481934,0.3191419541835785,0.3014344274997711,0.14212623238563538,0.18521802127361298,0.20260171592235565,0.21411484479904175,0.4974319636821747
etoposide,24,-0.3914721134304887,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/etoposide/candidate_024_raw.png,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/etoposide/candidate_024_display.png,0.8731727600097656,0.06739450991153717,0.9373224377632141,0.3421201705932617,0.358928382396698,0.34034469723701477,0.13959267735481262,0.18383356928825378,0.19645996391773224,0.2104596644639969,0.5037326216697693,0.8184432983398438,0.07827858626842499,0.9296450614929199,0.29089903831481934,0.3191419541835785,0.3014344274997711,0.14212623238563538,0.18521802127361298,0.20260171592235565,0.21411484479904175,0.4974319636821747
etoposide,25,-0.6009411882793396,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/etoposide/candidate_025_raw.png,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/etoposide/candidate_025_display.png,0.9130859375,0.06008056551218033,0.9114493727684021,0.35359224677085876,0.31586286425590515,0.37217551469802856,0.13928556442260742,0.1597735583782196,0.19919069111347198,0.20330044627189636,0.5048397779464722,0.8184432983398438,0.07827858626842499,0.9296450614929199,0.29089903831481934,0.3191419541835785,0.3014344274997711,0.14212623238563538,0.18521802127361298,0.20260171592235565,0.21411484479904175,0.4974319636821747
etoposide,26,-0.3694563488674956,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/etoposide/candidate_026_raw.png,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/etoposide/candidate_026_display.png,0.837188720703125,0.055725403130054474,0.8707349300384521,0.2821318805217743,0.349214106798172,0.31298837065696716,0.15468376874923706,0.183345228433609,0.18994443118572235,0.19416989386081696,0.5025560855865479,0.8184432983398438,0.07827858626842499,0.9296450614929199,0.29089903831481934,0.3191419541835785,0.3014344274997711,0.14212623238563538,0.18521802127361298,0.20260171592235565,0.21411484479904175,0.4974319636821747
etoposide,27,-0.46762590168646534,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/etoposide/candidate_027_raw.png,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/etoposide/candidate_027_display.png,0.7356796264648438,0.0653272420167923,0.918817937374115,0.2795819342136383,0.2892857789993286,0.2729513645172119,0.13806132972240448,0.19877785444259644,0.215251162648201,0.1884731650352478,0.5129856467247009,0.8184432983398438,0.07827858626842499,0.9296450614929199,0.29089903831481934,0.3191419541835785,0.3014344274997711,0.14212623238563538,0.18521802127361298,0.20260171592235565,0.21411484479904175,0.4974319636821747
etoposide,28,-0.6874505961928494,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/etoposide/candidate_028_raw.png,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/etoposide/candidate_028_display.png,0.9090614318847656,0.061594121158123016,0.9261471033096313,0.39475125074386597,0.3726048171520233,0.4085681140422821,0.14397138357162476,0.17755666375160217,0.21534501016139984,0.21503277122974396,0.49836528301239014,0.8184432983398438,0.07827858626842499,0.9296450614929199,0.29089903831481934,0.3191419541835785,0.3014344274997711,0.14212623238563538,0.18521802127361298,0.20260171592235565,0.21411484479904175,0.4974319636821747
etoposide,29,-0.47044494870639586,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/etoposide/candidate_029_raw.png,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/etoposide/candidate_029_display.png,0.8527946472167969,0.05055815353989601,0.926018476486206,0.32245907187461853,0.29400575160980225,0.3431212604045868,0.1303347796201706,0.16447192430496216,0.20698848366737366,0.20164355635643005,0.5323995351791382,0.8184432983398438,0.07827858626842499,0.9296450614929199,0.29089903831481934,0.3191419541835785,0.3014344274997711,0.14212623238563538,0.18521802127361298,0.20260171592235565,0.21411484479904175,0.4974319636821747
etoposide,30,-0.3643217564743151,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/etoposide/candidate_030_raw.png,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/etoposide/candidate_030_display.png,0.8666267395019531,0.0660942941904068,0.9041897654533386,0.3236050307750702,0.35308021306991577,0.3102633059024811,0.1280093640089035,0.17709147930145264,0.19799478352069855,0.19773492217063904,0.5036240816116333,0.8184432983398438,0.07827858626842499,0.9296450614929199,0.29089903831481934,0.3191419541835785,0.3014344274997711,0.14212623238563538,0.18521802127361298,0.20260171592235565,0.21411484479904175,0.4974319636821747
etoposide,31,-0.851744450920261,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/etoposide/candidate_031_raw.png,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/etoposide/candidate_031_display.png,0.9099655151367188,0.057593755424022675,0.9076354503631592,0.38364943861961365,0.4360094666481018,0.40994328260421753,0.17730911076068878,0.1923288255929947,0.21383191645145416,0.20493821799755096,0.4825855791568756,0.8184432983398438,0.07827858626842499,0.9296450614929199,0.29089903831481934,0.3191419541835785,0.3014344274997711,0.14212623238563538,0.18521802127361298,0.20260171592235565,0.21411484479904175,0.4974319636821747
vincristine,0,-0.9982134684922938,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/vincristine/candidate_000_raw.png,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/vincristine/candidate_000_display.png,0.1467437744140625,0.024618620052933693,0.8622464537620544,0.06971104443073273,0.06668700277805328,0.04799342527985573,0.052035458385944366,0.16512180864810944,0.1345641165971756,0.11111204326152802,0.5336621403694153,0.29076194763183594,0.03995603509247303,0.9429167211055756,0.10514593869447708,0.12361828237771988,0.11812488734722137,0.06572246551513672,0.18707580119371414,0.17936665564775467,0.13324733823537827,0.500633955001831
