drug,candidate,score,raw_path,display_path,candidate_foreground,candidate_sharpness,candidate_contrast,candidate_saturation,candidate_mean_r,candidate_mean_g,candidate_mean_b,candidate_std_r,candidate_std_g,candidate_std_b,candidate_blockiness,real_ref_foreground,real_ref_sharpness,real_ref_contrast,real_ref_saturation,real_ref_mean_r,real_ref_mean_g,real_ref_mean_b,real_ref_std_r,real_ref_std_g,real_ref_std_b,real_ref_blockiness,source_csv,foreground_abs_error,sharpness_log_abs_error,blockiness_abs_error,contrast_abs_error,saturation_abs_error
monastrol,0,-0.316454000455466,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/monastrol/candidate_000_raw.png,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/monastrol/candidate_000_display.png,0.7981376647949219,0.0678001269698143,0.8618572950363159,0.238083153963089,0.2784277498722076,0.2271596044301986,0.1957398056983947,0.1707061827182769,0.1980166733264923,0.1852475851774215,0.502757728099823,0.7861499786376953,0.0762482844293117,0.9046584367752076,0.2784271240234375,0.2948877215385437,0.2723431885242462,0.1459544077515602,0.174271285533905,0.185806043446064,0.2002406045794487,0.4988616853952408,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/candidate_quality_scores.csv,0.011987686157226562,0.11743083194911598,0.0038960427045822144,0.04280114173889171,0.04034397006034851
sb-202190,8,-0.3165883919044761,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/sb-202190/candidate_008_raw.png,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/sb-202190/candidate_008_display.png,0.7240447998046875,0.0602332167327404,0.9282834529876708,0.2820997536182403,0.2944845855236053,0.268582671880722,0.1280113756656646,0.2141746133565902,0.2116474956274032,0.1892924010753631,0.4991019368171692,0.7749862670898438,0.0679117664694786,0.9264909029006958,0.2888423204421997,0.3185125589370727,0.2866820096969604,0.1372153162956237,0.193556897342205,0.1972372531890869,0.2047478184103965,0.5015760660171509,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/candidate_quality_scores.csv,0.05094146728515625,0.11998531882265565,0.0024741291999816895,0.0017925500869749866,0.006742566823959406
nocodazole,7,-0.3347199666086518,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/nocodazole/candidate_007_raw.png,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/nocodazole/candidate_007_display.png,0.3497314453125,0.049581192433834,0.8826272487640381,0.1748296022415161,0.1765987277030944,0.1149218752980232,0.1359167695045471,0.2343803793191909,0.1907500475645065,0.1308653950691223,0.5023114085197449,0.3471832275390625,0.0667989701032638,0.9335898458957672,0.1666000783443451,0.1852989718317985,0.1405451744794845,0.0967303179204464,0.1939939111471176,0.1913283467292785,0.1505636200308799,0.4982589781284332,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/candidate_quality_scores.csv,0.0025482177734375,0.29807603380105857,0.0040524303913116455,0.050962597131729126,0.00822952389717102
colchicine,6,-0.3466524632585504,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/colchicine/candidate_006_raw.png,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/colchicine/candidate_006_display.png,0.7879371643066406,0.0756198465824127,0.8762819766998291,0.291402667760849,0.3362878561019897,0.2294564247131347,0.1869285404682159,0.2071516811847686,0.2120599448680877,0.1955106556415558,0.497501403093338,0.7587394714355469,0.0847366005182266,0.9157286882400512,0.2594502717256546,0.2953691631555557,0.234646126627922,0.1386228799819946,0.1832700371742248,0.1997590214014053,0.1863747909665107,0.4985696077346802,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/candidate_quality_scores.csv,0.02919769287109375,0.11382884388892647,0.001068204641342163,0.03944671154022206,0.0319523960351944
mg-132,15,-0.3530907839241402,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/mg-132/candidate_015_raw.png,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/mg-132/candidate_015_display.png,0.4418792724609375,0.0550299882888793,0.9185885787010192,0.1534180343151092,0.1666549444198608,0.1550215482711792,0.093774065375328,0.1924711465835571,0.1929510831832885,0.1322896629571914,0.5052125453948975,0.3488101959228515,0.0538042783737182,0.9249556064605712,0.1478439942002296,0.1637884825468063,0.1458334624767303,0.0911820568144321,0.1989175528287887,0.1811050027608871,0.1647135764360427,0.5015916526317596,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/candidate_quality_scores.csv,0.09306907653808599,0.022525286437575207,0.0036208927631378174,0.006367027759552002,0.005574040114879608
mitoxantrone,29,-0.3838169862925949,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/mitoxantrone/candidate_029_raw.png,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/mitoxantrone/candidate_029_display.png,0.3614540100097656,0.0547194629907608,0.9262921810150146,0.170088842511177,0.1668487638235092,0.1626470685005188,0.1147965863347053,0.2237127423286438,0.2160563170909881,0.1421915888786316,0.4931163787841797,0.3040523529052734,0.0660098195075988,0.9429679811000824,0.1643029078841209,0.1507444530725479,0.1517117917537689,0.0909433029592037,0.201573871076107,0.1882546693086624,0.1476390436291694,0.5006569027900696,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/candidate_quality_scores.csv,0.05740165710449224,0.18758402061936286,0.007540524005889893,0.01667580008506775,0.005785934627056094
doxorubicin,28,-0.3900044350304225,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/doxorubicin/candidate_028_raw.png,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/doxorubicin/candidate_028_display.png,0.8287086486816406,0.0828447341918945,0.8689859509468079,0.2871379852294922,0.3347716033458709,0.2212260663509369,0.173913687467575,0.1914109140634536,0.1924027949571609,0.1910037696361541,0.5020231604576111,0.7672672271728516,0.0877966545522213,0.91412952542305,0.2652642130851745,0.2989268451929092,0.2475109547376632,0.1439043134450912,0.1870192885398864,0.196544773876667,0.2002789750695228,0.5019550919532776,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/candidate_quality_scores.csv,0.06144142150878906,0.058055206540041995,6.80685043334961e-05,0.045143574476242176,0.021873772144317682
alsterpaullone,20,-0.464731811365509,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/alsterpaullone/candidate_020_raw.png,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/alsterpaullone/candidate_020_display.png,0.8991661071777344,0.0670712813735008,0.8790144324302673,0.2595509886741638,0.3006916046142578,0.2894630432128906,0.1626664847135543,0.1632230877876281,0.1523138582706451,0.1893137991428375,0.4989272654056549,0.9595413208007812,0.0818949155509471,0.8025775849819183,0.2979739308357239,0.3157338947057724,0.3293947279453277,0.1725362315773964,0.1647823378443718,0.158221460878849,0.2019316479563713,0.4995710998773575,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/candidate_quality_scores.csv,0.060375213623046875,0.19968092581318223,0.0006438344717025757,0.076436847448349,0.03842294216156006
camptothecin,7,-0.4767294839437693,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/camptothecin/candidate_007_raw.png,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/camptothecin/candidate_007_display.png,0.2505950927734375,0.0481195002794265,0.8649666905403137,0.1399526596069336,0.1247002407908439,0.1406800299882888,0.1366878896951675,0.1942145675420761,0.2090809196233749,0.1302814781665802,0.5209830403327942,0.3053836822509765,0.0630328319966793,0.93777197599411,0.1475081071257591,0.1448364853858947,0.1518407836556434,0.0984681993722915,0.2022000253200531,0.1984598413109779,0.1540507376194,0.4998009204864502,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/candidate_quality_scores.csv,0.05478858947753901,0.2699681781102668,0.021182119846343994,0.07280528545379628,0.007555447518825503
staurosporine,7,-0.6059633361569958,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/staurosporine/candidate_007_raw.png,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/staurosporine/candidate_007_display.png,0.4001998901367187,0.0583661794662475,0.914397120475769,0.1380511373281479,0.1594903171062469,0.1441134810447693,0.0980754643678665,0.1979896426200866,0.1850061565637588,0.1401377022266388,0.4990227818489074,0.4880390167236328,0.0762606896460056,0.953508585691452,0.189314879477024,0.1994998455047607,0.1759665608406067,0.093447957187891,0.2149520292878151,0.2031126394867897,0.168841116130352,0.500653475522995,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/candidate_quality_scores.csv,0.08783912658691412,0.26742095418583484,0.00163069367408758,0.03911146521568298,0.05126374214887611
