drug,pearson_CPFLOW_combined,pearson_MultiVCDiff_original,mse_CPFLOW_combined,mse_MultiVCDiff_original,mae_CPFLOW_combined,mae_MultiVCDiff_original,delta_pearson_cpflow_minus_multivcdiff,delta_mse_cpflow_minus_multivcdiff
doxorubicin,0.9771191161350798,0.2642626109284279,0.1662234663963318,2486.64501953125,0.31846776604652405,40.14727020263672,0.712856505206652,-2486.4787960648537
emetine,0.9786657165367831,0.4235704552530258,0.21070022881031036,1008.9971923828125,0.34733089804649353,24.738412857055664,0.5550952612837574,-1008.7864921540022
etoposide,0.983525556767618,0.3927520425482767,0.13640189170837402,2014.6552734375,0.28755155205726624,34.322635650634766,0.5907735142193413,-2014.5188715457916
floxuridine,0.9835742815980294,0.43065216991206945,0.1345461905002594,568.3870239257812,0.28392186760902405,18.88527488708496,0.55292211168596,-568.252477735281
forskolin,0.9841311238093124,0.3073929386614566,0.11741266399621964,848.3873901367188,0.2694368064403534,22.868833541870117,0.6767381851478558,-848.2699774727225
genistein,0.9660576612001676,0.3848966881358705,0.26312151551246643,2406.64013671875,0.401530921459198,38.05733871459961,0.581160973064297,-2406.3770152032375
h-7,0.987797710641809,0.685346336136742,0.13277608156204224,3848.765625,0.2869535982608795,47.81971740722656,0.302451374505067,-3848.632848918438
hydroxyurea,0.9775146650359117,0.587689911119862,0.21816278994083405,5750.7509765625,0.36251404881477356,59.96160888671875,0.38982475391604965,-5750.532813772559
ly-294002,0.9816519413679397,0.4911047723915645,0.18235523998737335,2965.3310546875,0.330321341753006,42.38968276977539,0.4905471689763751,-2965.1486994475126
methotrexate,0.9876502913604325,0.7164029204360568,0.19632460176944733,5675.6337890625,0.34475237131118774,60.84473419189453,0.2712473709243757,-5675.437464460731
mg-132,0.9821354703433798,0.26826214696521083,0.12889863550662994,2588.5615234375,0.27876001596450806,39.19556427001953,0.7138733233781689,-2588.4326248019934
mitoxantrone,0.975163512930691,0.366199168282134,0.2018212378025055,3071.059326171875,0.339382141828537,43.242618560791016,0.6089643446485571,-3070.8575049340725
monastrol,0.9919034298904467,0.5249365478574335,0.07023346424102783,1500.728515625,0.2035815715789795,29.891891479492188,0.4669668820330132,-1500.658282160759
neomycin,0.989796232670892,0.5811676751491683,0.11872342973947525,3365.10302734375,0.27494490146636963,45.37305450439453,0.40862855752172367,-3364.9843039140105
nocodazole,0.988847264249394,0.47600298942513447,0.1035686582326889,4738.2802734375,0.24842332303524017,54.55355453491211,0.5128442748242594,-4738.176704779267
nystatin,0.988100842093429,0.5188945775859869,0.10076602548360825,2373.37109375,0.24768778681755066,37.983787536621094,0.4692062645074421,-2373.2703277245164
olomoucine,0.9854744424996036,0.5925239503218971,0.12813982367515564,1588.895751953125,0.28443917632102966,31.663984298706055,0.3929504921777065,-1588.7676121294498
pd-98059,0.982036256889049,0.41873572246712454,0.13540831208229065,2221.19189453125,0.285091370344162,36.74208450317383,0.5633005344219245,-2221.0564862191677
pp-2,0.9829015396501193,0.4959336427350119,0.1551724523305893,311.43133544921875,0.3089471459388733,13.501588821411133,0.4869678969151074,-311.27616299688816
puromycin,0.9905969969566034,0.5023148516689729,0.11507900804281235,1233.0341796875,0.2622673809528351,27.188589096069336,0.4882821452876305,-1232.9191006794572
quercetin,0.9828434161056034,0.36600600802312894,0.12846548855304718,3331.88134765625,0.27332666516304016,44.90701675415039,0.6168374080824746,-3331.752882167697
raloxifene,0.9734902140965971,0.32985171190094764,0.15943996608257294,261.3503112792969,0.3104069232940674,12.618090629577637,0.6436385021956494,-261.1908713132143
roscovitine,0.9802086220718378,0.3743679447166547,0.1398082673549652,2380.804443359375,0.29405677318573,38.06538772583008,0.6058406773551831,-2380.66463509202
sb-202190,0.9813843796070908,0.46716829790516956,0.1886206865310669,1786.7607421875,0.33998996019363403,33.37925338745117,0.5142160817019212,-1786.572121500969
sb-203580,0.9820372628476552,0.5799645978018413,0.15913881361484528,1412.6737060546875,0.30789196491241455,29.124080657958984,0.40207266504581396,-1412.5145672410727
simvastatin,0.9867253631064936,0.3983635185708957,0.10742470622062683,967.441650390625,0.2550232708454132,23.91728973388672,0.5883618445355979,-967.3342256844044
staurosporine,0.9821902607984928,0.5666056159598803,0.18660868704319,3203.787353515625,0.3290896713733673,45.8216667175293,0.41558464483861246,-3203.600744828582
temozolomide,0.9818390725859126,0.4619633231973474,0.14727148413658142,2389.80908203125,0.2947348952293396,38.48478317260742,0.5198757493885653,-2389.6618105471134
tunicamycin,0.9900726812195285,0.6023026579925118,0.09650823473930359,5469.9111328125,0.24228523671627045,57.5356330871582,0.3877700232270167,-5469.814624577761
vinblastine,0.9750096475515447,0.44338137419456125,0.18498697876930237,1538.754638671875,0.3278731107711792,30.35794448852539,0.5316282733569835,-1538.5696516931057
vincristine,0.9835201670247381,0.49417524909507515,0.1372290700674057,383.6114196777344,0.29099613428115845,15.535061836242676,0.48934491792966295,-383.47419060766697
y-27632,0.9735106972703246,0.3522348843532007,0.20701360702514648,2890.730712890625,0.36127644777297974,41.56704330444336,0.6212758129171239,-2890.5236992836
